pipe_id,node1,node2,length_m,diameter_cad_mm,diameter_mm,material,diameter_from_cad,label_distance_m,peak_tree_flow_lps,flow_lps,velocity_ms,headloss_m_per_km
P253,J207,J209,19.54,100.0,100.0,UNK,False,inf,0.0793,-0.0393,0.005,0.0
P254,J207,J209,18.93,100.0,100.0,UNK,False,inf,0.0,-0.04,0.0051,0.0
P255,J209,J210,1.92,50.0,50.0,GI,True,55.3,0.0,0.3859,0.1966,0.0016
P256,J209,J211,2.07,50.0,50.0,GI,True,55.4,0.0878,-0.4737,0.2413,0.0023
P257,J210,J211,0.69,50.0,75.0,GI,True,54.6,3.6331,-3.2472,0.735,0.0112
P258,J211,J214,20.51,100.0,100.0,UNK,False,inf,3.9566,-3.9566,0.5038,0.0047
P259,J213,J214,57.74,50.0,50.0,UNK,False,inf,0.1419,-0.1419,0.0723,0.0003
P260,J214,J222,15.1,100.0,100.0,UNK,False,inf,4.9503,-4.9503,0.6303,0.0071
P261,J215,J234,61.37,100.0,150.0,UNK,False,inf,16.1506,-16.1506,0.9139,0.0088
P262,J215,J218,34.87,50.0,50.0,UNK,False,inf,0.1576,0.1576,0.0803,0.0003
P263,J215,J217,12.0,50.0,50.0,UNK,False,inf,0.1126,0.1127,0.0574,0.0002
P264,J223,J219,34.9,50.0,50.0,,True,28.4,0.3875,0.3875,0.1974,0.0018
P265,J232,J220,87.71,40.0,40.0,,True,23.8,0.5862,0.5862,0.4665,0.0118
P266,J222,J221,25.1,50.0,50.0,UNK,False,inf,0.1542,0.1542,0.0785,0.0003
P267,J222,J224,1.49,100.0,100.0,UNK,False,inf,5.1194,-2.5825,0.3288,0.0021
P268,J224,J222,1.54,100.0,100.0,UNK,False,inf,0.0,2.5369,0.323,0.002
P269,J223,J229,18.09,50.0,50.0,,True,8.6,0.1322,0.1322,0.0673,0.0003
P270,J226,J223,45.51,50.0,50.0,,True,17.8,0.6,0.6,0.3056,0.0041
P271,J231,J224,27.4,100.0,100.0,UNK,False,inf,5.1438,2.5719,0.3275,0.0021
P272,J224,J231,27.4,100.0,100.0,UNK,False,inf,0.0,-2.5719,0.3275,0.0021
P273,J228,J225,23.17,50.0,50.0,UNK,False,inf,0.3348,0.3348,0.1705,0.0014
P274,J226,J238,39.46,50.0,50.0,,True,33.6,0.1585,0.1585,0.0807,0.0004
P275,J227,J226,13.25,50.0,50.0,,True,35.4,0.8058,0.8058,0.4104,0.0072
P276,J254,J227,164.68,100.0,150.0,UNK,False,inf,22.972,20.2253,1.1445,0.0133
P277,J228,J230,20.99,50.0,50.0,UNK,False,inf,0.102,0.102,0.052,0.0002
P278,J228,J237,23.89,50.0,50.0,UNK,False,inf,0.0783,0.0783,0.0399,1e-04
P279,J231,J236,36.85,50.0,50.0,GI,True,59.6,0.4104,0.4104,0.209,0.0017
P280,J233,J231,41.8,75.0,200.0,GI,True,36.7,30.9796,30.9796,0.9861,0.0061
P281,J231,J252,475.9,100.0,150.0,UNK,False,inf,25.3518,25.3518,1.4346,0.0202
P282,J248,J232,410.44,100.0,150.0,UNK,False,inf,17.5056,-14.7589,0.8352,0.0074
P283,J233,J246,243.24,50.0,50.0,UNK,False,inf,0.7447,0.7447,0.3793,0.0062
P284,J239,J234,31.77,50.0,50.0,UNK,False,inf,0.1151,-0.1152,0.0586,0.0002
P285,J243,J234,67.5,100.0,150.0,UNK,False,inf,16.3696,16.3696,0.9263,0.009
